VIDEO Video URL,VIDEO Published Date,FACEBOOK FB Video Complete Views 30s Organic,FACEBOOK FB Video Complete Views 30s Paid,FACEBOOK FB Video Complete Views 30s Total,FACEBOOK FB Video Complete Views Organic,FACEBOOK FB Video Complete Views Paid,FACEBOOK FB Video Complete Views Total,FACEBOOK FB Video Views Organic,FACEBOOK FB Video Views Paid,FACEBOOK FB Video Views Total,FACEBOOK Post Shares,FACEBOOK Post Reach,FACEBOOK Post Fan Reach,FACEBOOK Post Likes,FACEBOOK Post Comments,FACEBOOK Post Negative Feedback: Total,Targeted?,Repost?,Bug?
https://www.facebook.com/Upworthy/posts/1025441214163403,6/2/2015,836257,0,836257,490931,0,490931,2634357,2,2634359,65041,9515008,1847296,176364,37045,3518,N,N,N
https://www.facebook.com/Upworthy/posts/1024707724236752,6/1/2015,160723,0,160723,116411,0,116411,660875,0,660875,6073,2865152,1879040,21047,1299,363,Y,N,N
https://www.facebook.com/Upworthy/posts/1021988807841977,5/29/2015,1283204,0,1283204,452773,0,452773,4059210,0,4059210,76051,14700544,2396160,212378,23200,3205,Y,N,N
https://www.facebook.com/Upworthy/posts/1018104014897123,5/27/2015,560482,0,560482,235542,0,235542,2224271,0,2224271,26690,14381056,2433024,82499,8164,1044,N,N,N
https://www.facebook.com/Upworthy/posts/1017968584910666,5/22/2015,299548,0,299548,181804,0,181804,1279169,0,1279169,19301,4583424,2045952,61500,4184,568,Y,N,N
https://www.facebook.com/Upworthy/posts/1016851695022355,5/20/2015,500287,0,500287,279134,0,279134,1739339,0,1739339,33652,7849984,2205696,96870,11896,1281,Y,N,N
https://www.facebook.com/Upworthy/posts/1015767018464156,5/18/2015,162282,0,162282,62634,0,62634,780067,0,780067,15400,3209216,1702912,20108,5690,441,Y,N,N
https://www.facebook.com/Upworthy/posts/1014401875267337,5/17/2015,115821,0,115821,71009,0,71009,536158,0,536158,4297,1833472,1500672,12802,1031,271,Y,N,N
https://www.facebook.com/Upworthy/posts/1014328928607965,5/15/2015,126373,0,126373,51747,0,51747,330924,0,330924,6434,1502720,954368,10552,2471,262,Y,N,N
https://www.facebook.com/Upworthy/posts/1013703458670512,5/14/2015,36914,0,36914,16777,0,16777,195899,0,195899,2549,733952,585984,3131,652,100,Y,N,N
https://www.facebook.com/Upworthy/posts/1013163648724493,5/13/2015,556113,0,556113,335583,0,335583,1566153,0,1566153,12254,6350848,3053568,39581,6327,644,Y,N,N
https://www.facebook.com/Upworthy/posts/1012693338771524,5/12/2015,847006,9,847015,598263,9,598272,2139601,9,2139610,33095,7698432,2725888,68666,14470,1070,Y,N,N
https://www.facebook.com/Upworthy/posts/1012066538834204,5/11/2015,107781,0,107781,41842,0,41842,498152,0,498152,2056,1941504,1718272,4148,1688,170,Y,N,N
https://www.facebook.com/Upworthy/posts/1010293845678140,5/10/2015,66263,0,66263,29687,0,29687,314263,0,314263,2959,1554432,1296384,7827,740,136,N,N,N
https://www.facebook.com/Upworthy/posts/1010240009016857,5/8/2015,477283,0,477283,232066,0,232066,1222127,0,1222127,11375,4720640,2349056,37204,2675,463,Y,N,N
https://www.facebook.com/Upworthy/posts/1009954472378744,5/7/2015,35271,0,35271,25456,0,25456,266317,0,266317,337,1016832,883200,1285,357,71,Y,N,N
https://www.facebook.com/Upworthy/posts/1009277655779759,5/6/2015,178280,0,178280,120403,0,120403,675857,0,675857,6634,2412544,1463296,26318,2031,251,Y,N,N
https://www.facebook.com/Upworthy/posts/1008801525827372,5/5/2015,305467,0,305467,104185,0,104185,924507,0,924507,8416,3217408,2222080,32848,2541,790,Y,N,N
https://www.facebook.com/Upworthy/posts/1008070269233831,5/4/2015,373001,0,373001,217253,0,217253,1009998,0,1009998,14051,3598336,1860608,24064,9679,442,Y,N,N
https://www.facebook.com/Upworthy/posts/1006249196082605,5/1/2015,69139,0,69139,22667,0,22667,323485,0,323485,2828,1392640,1130496,5289,629,132,Y,N,N
https://www.facebook.com/Upworthy/posts/1005051116202413,4/29/2015,542150,13384,555534,330100,7688,337788,1612278,39938,1652216,12071,4747264,2652160,40171,6251,985,N,N,N
https://www.facebook.com/Upworthy/posts/1004525319588326,4/28/2015,137528,0,137528,63733,0,63733,640063,0,640063,9212,2577408,1776640,19911,2087,276,N,N,N
https://www.facebook.com/Upworthy/posts/1001481909892667,4/23/2015,354616,0,354616,196612,0,196612,1267478,0,1267478,12437,3451904,1681408,43127,4117,439,N,N,N
https://www.facebook.com/Upworthy/posts/1000900266617498,4/22/2015,145927,0,145927,69702,0,69702,543368,0,543368,6975,2399232,1587200,15731,1098,234,Y,Y,N
https://www.facebook.com/Upworthy/posts/999519466755578,4/20/2015,59960,0,59960,28092,0,28092,318319,0,318319,1032,1312256,1168384,3334,287,120,Y,N,N
https://www.facebook.com/Upworthy/posts/997889810251877,4/19/2015,38603,0,38603,29214,0,29214,286054,0,286054,560,1106432,1043968,2511,95,99,Y,N,N
https://www.facebook.com/Upworthy/posts/997836110257247,4/17/2015,485336,0,485336,241525,0,241525,1159960,0,1159960,7573,3728384,2807808,13576,3805,413,Y,N,N
https://www.facebook.com/Upworthy/posts/996604180380440,4/15/2015,983690,0,983690,198589,0,198589,3083168,0,3083168,46026,8908800,3026944,98758,13650,1490,N,N,N
https://www.facebook.com/Upworthy/posts/995842240456634,4/14/2015,205931,0,205931,89660,0,89660,1026263,0,1026263,13377,3448832,2100224,39433,6421,580,N,N,N
https://www.facebook.com/Upworthy/posts/995204130520445,4/13/2015,76605,0,76605,40571,0,40571,488691,0,488691,3634,1786368,1403392,8325,751,219,N,N,N
https://www.facebook.com/Upworthy/posts/993401600700698,4/12/2015,164867,0,164867,73921,0,73921,754948,0,754948,4753,2640896,2088960,12840,3036,236,N,N,N
https://www.facebook.com/Upworthy/posts/993581100682748,4/10/2015,32257,0,32257,15689,0,15689,278162,0,278162,660,1182720,1100800,2269,697,236,N,N,N
https://www.facebook.com/Upworthy/posts/990733177634207,4/6/2015,230429,0,230429,144855,0,144855,1061766,0,1061766,4419,2926592,2381824,22836,2385,400,N,N,N
https://www.facebook.com/Upworthy/posts/989018617805663,4/3/2015,86135,0,86135,60794,0,60794,413259,0,413259,4232,1550848,1203712,6673,1838,178,N,N,N
https://www.facebook.com/Upworthy/posts/987908001250058,4/1/2015,224476,0,224476,132614,0,132614,725845,0,725845,4629,2590720,2112512,23234,2647,265,N,N,N
https://www.facebook.com/Upworthy/posts/984615691579289,3/27/2015,41175,0,41175,20776,0,20776,236723,0,236723,347,910592,877312,1905,683,80,N,Y,N
https://www.facebook.com/Upworthy/posts/984433308264194,3/27/2015,433033,0,433033,286335,0,286335,1147434,0,1147434,6961,3832832,2754560,28893,7880,450,N,N,N
https://www.facebook.com/Upworthy/posts/983201095054082,3/25/2015,283256,101,283357,157057,80,157137,1059346,143,1059489,14998,3844096,2210816,42019,2823,589,N,N,N
https://www.facebook.com/Upworthy/posts/980397028667822,3/21/2015,153302,0,153302,154967,0,154967,662856,0,662856,758,2115584,1959936,6412,715,179,N,N,N
https://www.facebook.com/Upworthy/posts/980412688666256,3/20/2015,61282,0,61282,31284,0,31284,323951,0,323951,403,1184768,1101312,1970,833,139,N,N,N
https://www.facebook.com/Upworthy/posts/974652472575611,3/11/2015,135635,0,135635,84390,0,84390,646685,0,646685,2957,2156544,1869824,8378,1874,301,N,N,N
https://www.facebook.com/Upworthy/posts/973431412697717,3/9/2015,295674,0,295674,159599,0,159599,1208600,0,1208600,13310,4474880,2279424,58443,3750,974,N,N,N
https://www.facebook.com/Upworthy/posts/969921939715331,3/4/2015,9154443,95,9154538,3540443,39,3540482,25842859,113,25842972,629936,75071488,3735552,1827729,266815,44306,N,N,N
https://www.facebook.com/Upworthy/posts/967446766629515,3/2/2015,14191334,52506,14243840,5609654,23033,5632687,42895579,212779,43108358,1472413,134086656,3604480,3297837,478885,102225,N,N,N
https://www.facebook.com/Upworthy/posts/965235740183951,2/25/2015,198776,0,198776,128199,0,128199,701107,0,701107,2809,2757632,2049024,22033,954,293,N,N,N
https://www.facebook.com/Upworthy/posts/960720717302120,2/22/2015,36816,0,36816,21764,0,21764,285516,0,285516,554,1142784,1087488,1806,349,141,N,N,N
https://www.facebook.com/Upworthy/posts/961613427212849,2/22/2015,138787,0,138787,104430,0,104430,643374,0,643374,1413,2095104,1906688,8633,937,320,N,N,N
https://www.facebook.com/Upworthy/posts/960777160629809,2/19/2015,158818,0,158818,71696,0,71696,685691,0,685691,3973,2562048,2110464,16535,2006,524,Y,N,N
https://www.facebook.com/Upworthy/posts/956093464431512,2/14/2015,395454,3,395457,211344,3,211347,1624860,7,1624867,26159,5863424,2404352,99999,15445,2520,N,Y,N
https://www.facebook.com/Upworthy/posts/954038854636973,2/10/2015,177211,0,177211,106777,0,106777,650102,0,650102,5141,2518016,1689600,14795,3647,408,N,N,N
https://www.facebook.com/Upworthy/posts/953510561356469,2/9/2015,372100,0,372100,303811,0,303811,919631,0,919631,3978,2744320,2116608,14054,4108,476,N,N,N
