"","URL","Date","Thirty_Views_Organic","Thirty_Views_Paid","Thirty_Views_Total","Complete_Views_Organic","Complete_Views_Paid","Complete_Views_Total","Views_Organic","Views_Paid","Views_Total","Shares","Reaches","Fan_Reaches","Likes","Comments","Negative_Feedback","Targeted","Repost","Bug","Days_since_first_post","ratio_thirty_views_anyviews","reaches_per_fanreach","virality","shares_per_reach","likes_per_reach","comments_per_reach","neg_feedback_per_reach","views_per_reach","thirty_views_per_reach","thirty_views_residuals"
"59","https://www.facebook.com/Upworthy/posts/1037645306276327",2015-06-22,399481,0,399481,154096,0,154096,1466829,0,1466829,20218,4435968,1964032,64091,5023,3132,"Yes","No","No",166,0.272343265643098,2.25860271115746,1.25860271115746,0.00455774252654663,0.0144480302833564,0.00113233458852724,0.000706046572022161,0.330667173433172,0.0900549778537627,-244055.137643379
"60","https://www.facebook.com/Upworthy/posts/1035368526504005",2015-06-19,173869,1,173870,110975,1,110976,690936,1,690937,3149,3013632,1780736,18240,1289,1332,"No","Yes","No",163,0.251643782284058,1.69235192639448,0.69235192639448,0.00104491855674482,0.00605249745158002,0.000427723092932382,0.000441991590214067,0.229270528053857,0.0576945028457356,-36063.8631397355
"61","https://www.facebook.com/Upworthy/posts/1035888483118676",2015-06-19,12967,0,12967,4932,0,4932,56971,0,56971,1149,527903,278143,1274,187,192,"Yes","Yes","No",163,0.227607028137122,1.89795536828178,0.897955368281783,0.00217653621972218,0.00241332214440911,0.000354231743331635,0.000363703180319112,0.107919447322709,0.0245632246833225,-111584.680189687
"62","https://www.facebook.com/Upworthy/posts/1035237186517139",2015-06-18,282580,0,282580,152620,0,152620,1073671,0,1073671,14600,5763072,1785856,48805,6590,2391,"Yes","No","No",162,0.263190493177146,3.22706422018349,2.22706422018349,0.0025333710909737,0.00846857370513504,0.00114348736229566,0.000414882895788913,0.186301854288824,0.0490328769100924,-599783.639908257
"63","https://www.facebook.com/Upworthy/posts/1034324169941774",2015-06-17,157159,0,157159,72231,0,72231,740073,0,740073,12561,3054592,1474560,20522,2673,1661,"Yes","No","No",161,0.212356078386862,2.07152777777778,1.07152777777778,0.00411216948122695,0.00671840952899765,0.0008750759512236,0.000543771475863225,0.242282111653537,0.0514500790940329,-175340.082638889
"64","https://www.facebook.com/Upworthy/posts/1034271249947066",2015-06-16,131470,0,131470,31542,0,31542,543536,0,543536,6134,2024448,1308672,11579,1366,1414,"Yes","Yes","No",160,0.241879102764122,1.54694835680751,0.546948356807512,0.00302996174759737,0.00571958380753667,0.000674751833586242,0.000698462000505817,0.268486026808295,0.0649411592690946,17344.7582159625
"65","https://www.facebook.com/Upworthy/posts/1034182469955944",2015-06-16,7697,0,7697,3571,0,3571,30362,0,30362,1045,649472,443392,1272,297,388,"Yes","Yes","No",160,0.253507674066267,1.46478060046189,0.464780600461894,0.00160899931020891,0.00195851399290501,0.000457294540796216,0.00059740835632637,0.046748743594797,0.0118511652542373,47526.0433025404
"66","https://www.facebook.com/Upworthy/posts/1031485436892314",2015-06-11,18485,0,18485,14820,0,14820,30396,0,30396,873,848384,700160,2709,442,675,"Yes","Yes","Yes",155,0.608139228845901,1.21170018281536,0.211700182815356,0.00102901516294508,0.00319312952625226,0.000520990494870247,0.00079563028062764,0.0358281155703078,0.0217884825739288,140485.770749543
"67","https://www.facebook.com/Upworthy/posts/1028061193901405",2015-06-07,17223,0,17223,6617,0,6617,30342,0,30342,974,618240,511744,3180,184,438,"Yes","Yes","Yes",151,0.567629029068618,1.20810405202601,0.208104052026013,0.00157543995859213,0.00514363354037267,0.000297619047619048,0.000708462732919255,0.0490780279503106,0.0278581133540373,141806.676338169
"68","https://www.facebook.com/Upworthy/posts/1027429553964569",2015-06-05,80872,0,80872,70774,0,70774,118575,0,118575,6155,2654208,1146880,15286,767,1050,"Yes","Yes","Yes",149,0.682032468901539,2.31428571428571,1.31428571428571,0.00231895917727623,0.0057591567804784,0.000288975091628086,0.000395598234953704,0.0446743435329861,0.030469352816358,-264508.228571429
"69","https://www.facebook.com/Upworthy/posts/1026824640691727",2015-06-04,45913,0,45913,11826,0,11826,83661,0,83661,6738,1410560,923648,14427,3118,932,"Yes","No","Yes",148,0.548798125769474,1.52716186252772,0.527161862527716,0.00477682622504537,0.0102278527676951,0.00221046960072595,0.000660730490018149,0.059310486615245,0.032549483892922,24612.594789357
"70","https://www.facebook.com/Upworthy/posts/1026634774044047",2015-06-03,24850,0,24850,20242,0,20242,35171,0,35171,431,750848,562944,2365,1269,745,"Yes","No","Yes",147,0.706548008302294,1.33378808549341,0.333788085493406,0.00057401764405046,0.00314977199113536,0.00169008907262189,0.000992211472894647,0.0468417043129901,0.0330959128878282,95641.2969531605
"71","https://www.facebook.com/Upworthy/posts/1026129324094592",2015-06-03,29654,0,29654,10347,0,10347,120398,0,120398,1061,780032,595968,1697,205,198,"Yes","No","No",147,0.246299772421469,1.30884879725086,0.308848797250859,0.00136020060715458,0.00217555177223499,0.000262809730882836,0.000253835740072202,0.15435007794552,0.0380163890712176,104801.821735395
"72","https://www.facebook.com/Upworthy/posts/1025441214163403",2015-06-02,836257,0,836257,490931,0,490931,2634357,2,2634359,65041,9515008,1847296,176364,37045,3518,"No","No","No",146,0.317442307597408,5.15077605321508,4.15077605321508,0.00683562220862032,0.0185353496287129,0.00389332305343306,0.000369731691239776,0.276863561228745,0.0878882077660891,-1306388.00443459
"73","https://www.facebook.com/Upworthy/posts/1024707724236752",2015-06-01,160723,0,160723,116411,0,116411,660875,0,660875,6073,2865152,1879040,21047,1299,363,"Yes","No","No",145,0.243197276338188,1.52479564032698,0.524795640326975,0.00211960831397427,0.00734585809060043,0.000453379087741244,0.000126694848999285,0.230659664827555,0.0560958022471408,25481.7389645776
"74","https://www.facebook.com/Upworthy/posts/1021988807841977",2015-05-29,1283204,0,1283204,452773,0,452773,4059210,0,4059210,76051,14700544,2396160,212378,23200,3205,"Yes","No","No",142,0.316121609869901,6.13504273504274,5.13504273504274,0.00517334596597242,0.0144469483578295,0.00157817288938423,0.000218019142692951,0.276126516134369,0.0872895588081638,-1667921.95213675
"75","https://www.facebook.com/Upworthy/posts/1018104014897123",2015-05-27,560482,0,560482,235542,0,235542,2224271,0,2224271,26690,14381056,2433024,82499,8164,1044,"No","No","No",140,0.251984582813875,5.91077441077441,4.91077441077441,0.00185591377990601,0.00573664409623327,0.000567691273853603,7.25955034178297e-05,0.154666736573448,0.0389736330906437,-1585545.28114478
"76","https://www.facebook.com/Upworthy/posts/1017968584910666",2015-05-22,299548,0,299548,181804,0,181804,1279169,0,1279169,19301,4583424,2045952,61500,4184,568,"Yes","No","No",135,0.234173905089945,2.24024024024024,1.24024024024024,0.00421104397062109,0.0134179163873995,0.000912854669347632,0.00012392482126899,0.27908589735534,0.0653546344392315,-237310.363363363
"77","https://www.facebook.com/Upworthy/posts/1016851695022355",2015-05-20,500287,0,500287,279134,0,279134,1739339,0,1739339,33652,7849984,2205696,96870,11896,1281,"Yes","No","No",133,0.287630530908581,3.55896007428041,2.55896007428041,0.00428688771849726,0.0123401525404383,0.00151541710148709,0.000163185045982259,0.221572298746087,0.0637309579229716,-721693.30176416
"78","https://www.facebook.com/Upworthy/posts/1015767018464156",2015-05-18,162282,0,162282,62634,0,62634,780067,0,780067,15400,3209216,1702912,20108,5690,441,"Yes","No","No",131,0.208035976396899,1.88454600120265,0.884546001202646,0.00479867980216975,0.00626570477026165,0.00177301870612636,0.000137416739789407,0.243070893327218,0.0505674906269943,-106659.245339747
"79","https://www.facebook.com/Upworthy/posts/1014401875267337",2015-05-17,115821,0,115821,71009,0,71009,536158,0,536158,4297,1833472,1500672,12802,1031,271,"Yes","No","No",130,0.216020277604736,1.22176731490959,0.221767314909587,0.00234364091734152,0.00698238096900307,0.000562321104440101,0.000147807002234013,0.292427700013963,0.0631703129363306,136787.982258615
